Year,Week,Season,Customers,Orders,Units,Value,Return_Units,Return_Value,Partner,Delivery_Type,Store_Type,Next_Customer_Type,Return_Type,Markdown_Type,Despatch_Type
2023,24,S20231,43,72,338,18174.19,0,0,Next,Courier,Courier,Mixed,Courier,FP,Home
2023,25,S20231,15,15,69,3710.12,1,45.7,Next,Courier,Courier,Mixed,Courier,FP,Home
2023,24,S20231,1,1,3,161.31,0,0,Next,Courier,Courier,LauraAshley,Mixed,FP,Home
2023,24,S20231,3,3,34,1828.17,1,67.21,Next,Courier,Courier,Mixed,Courier,FP,Mixed
2023,3,S20231,2,3,5,15.67,0,0,JOJO,Parcelshop,Courier,,Courier,FP,Branded
2023,4,S20231,3,4,7,39.94,0,0,Next,Store,UK_Next_Store,Bath and Body Works,Store,MD,Branded
2023,3,S20231,1,3,5,15.67,0,0,JOJO,Courier,Courier,,Store,FP,Branded
2023,10,S20231,1,2,5,26.73,0,0,Next,Store,UK_VS_Store,,,MD,Mixed
2023,12,S20231,2,3,36,214.16,3,11.6,Next,Mixed,Mixed,,,Mixed,Mixed
2023,3,S20231,1,1,2,7.87,0,0,JOJO,Parcelshop,Courier,,,FP,Branded
2023,13,S20231,1,1,2,7.87,0,0,JOJO,Courier,Courier,,,FP,Branded
2023,2,S20231,1,1,2,11.55,0,0,Next,Store,UK_VS_Store,,,FP,Branded
2023,9,S20231,2,2,5,23.97,1,6.95,Next,Store,UK_Next_Store,Bath and Body Works,Store,MD,Branded
2023,4,S20231,1,1,2,9.71,0,0,JOJO,Courier,Courier,,,FP,Branded
2023,6,S20231,1,1,2,9.71,0,0,JOJO,Parcelshop,Courier,,Courier,FP,Branded
2023,6,S20231,1,1,2,6.02,0,0,JOJO,Courier,Courier,,,FP,Branded
2023,2,S20231,3,3,5,23.78,1,3.09,JOJO,Courier,Courier,,Courier,FP,Branded
2023,3,S20231,1,1,3,11.98,1,3.39,JOJO,Parcelshop,Courier,,Mixed,FP,Branded
2023,10,S20231,1,1,2,11.55,0,0,JOJO,Store,UK_Next_Store,,Store,FP,Branded
2023,13,S20231,1,1,2,6.02,0,0,JOJO,Store,UK_Next_Store,,Store,FP,Branded
2023,6,S20231,1,1,2,9.71,0,0,JOJO,Parcelshop,Courier,,,FP,Branded
2023,4,S20231,1,1,2,6.02,0,0,JOJO,Parcelshop,Courier,,,FP,Branded
2023,21,S20231,1,1,5,19.36,1,4.07,Next,Store,UK_JOJO_Store,,,FP,Branded
2023,6,S20231,1,1,2,6.02,0,0,JOJO,Store,UK_Next_Store,,Store,FP,Branded
2023,17,S20231,1,1,5,19.97,1,2.6,Next,Store,UK_Next_Store,,Courier,MD,Home
2023,25,S20231,1,1,2,7.68,1,3.26,JOJO,Courier,Courier,,,MD,Home
2023,6,S20231,1,1,5,15.67,1,3.29,Next,Store,International_Next_Store,,,MD,Home
2023,23,S20231,1,1,16,51.62,4,16.13,Next,Mixed,Mixed,Mixed,,Mixed,Home
2023,22,S20231,1,1,10,38.71,3,16.84,Next,Courier,Courier,LauraAshley,Mixed,FP,Home
2023,1,S20231,1,1,5,11.74,1,2.94,Next,Courier,Courier,,Store,MD,Home
2023,26,S20231,1,1,5,26.12,2,10.97,Next,Mixed,Mixed,,,Mixed,Home
2023,19,S20231,1,1,34,167.76,11,46.13,Next,Mixed,Mixed,Mixed,Mixed,FP,Home
2023,12,S20231,1,1,49,167.15,16,35.48,Next,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed
2023,23,S20231,1,1,3,12.9,1,3.66,Next,Store,UK_JOJO_Store,,Courier,MD,Mixed
2023,8,S20231,1,1,3,18.31,1,6.41,Next,Store,UK_Next_Store,,Store,MD,WWR
2023,23,S20231,1,1,5,29.99,2,15,Next,Store,UK_Next_Store,Mixed,Courier,MD,WWR
2023,18,S20231,23,40,75,298.08,27,155.6,Next,Store,UK_Next_Store,,,MD,Home
2023,9,S20231,17,32,56,898.42,21,421.13,Next,Store,UK_Next_Store,Aubin,,MD,Branded
